iter	RMSE
315	1552572.905
316	1552540.569
317	1552526.581
318	1552013.301
319	1540500.904
320	1540483.892
321	1540439.068
322	1540421.49
323	1540410.18
324	1534434.392
325	1532584.175
326	1532557.479
327	1532140.449
328	1532117.218
329	1532076.359
330	1532019.534
331	1531998.585
332	1531939.437
333	1531929.383
334	1529704.677
335	1529693.694
336	1529659.378
337	1529645.155
338	1529636.943
339	1529277.963
340	1529270.923
341	1529264.749
342	1518907.387
343	1518874.343
344	1518789.797
345	1516632.005
346	1516601.281
347	1516595.121
348	1516590.041
349	1516517.956
350	1516513.567
351	1516509.701
352	1516483.906
353	1516463.49
354	1516443.791
355	1516440.545
356	1516423.542
357	1516416.932
358	1514507.156
359	1514444.83
360	1514378.442
361	1514331.614
362	1514094.463
363	1514091.247
364	1514088.51
365	1514052.532
366	1514036.194
367	1514015.538
368	1513969.419
369	1513918.277
370	1513880.266
371	1513874.784
372	1513859.921
373	1513857.483
374	1513852.41
375	1513788.124
376	1513786.048
377	1513784.203
378	1513778.645
379	1513758.65
380	1512731.302
381	1512718.397
382	1503368.111
383	1503335.977
384	1503334.398
385	1503332.991
386	1482812.014
387	1482653.695
388	1481891.817
389	1481879.674
390	1481878.419
391	1481837.796
392	1480006.608
393	1479968.885
394	1479967.828
395	1479966.853
396	1479962.06
397	1479406.874
398	1479271.573
399	1479221.641
400	1470945.098
401	1470936.647
402	1470920.138
403	1470844.45
404	1468049.654
405	1456916.081
406	1456212.287
407	1456177.992
408	1456151.455
409	1456111.198
410	1456110.415
411	1456109.738
412	1456109.098
413	1456081.42
414	1440532.51
415	1430496.188
416	1430491.563
417	1430477.027
418	1430443.863
419	1417491.275
420	1416851.787
421	1416818.156
422	1416800.371
423	1416783.232
424	1416779.276
425	1416752.169
426	1416745.063
427	1416695.727
428	1416538.32
429	1416487.005
430	1416456.899
431	1416436.677
432	1416433.071
433	1416400.551
434	1414822.968
435	1414773.765
436	1414737.45
437	1414699.771
438	1414695.999
439	1414684.519
440	1414565.554
441	1389954.541
442	1389941.448
443	1389627.671
444	1389605.958
445	1389602.408
446	1389582.989
447	1389041.19
448	1389023.332
449	1388992.114
450	1375570.069
451	1375565.626
452	1375313.382
453	1375288.99
454	1363669.503
455	1363630.121
456	1363612.784
457	1362735.021
458	1362706.08
459	1362705.151
460	1362694.777
461	1359888.848
462	1359856.979
463	1348560.945
464	1348513.892
465	1348513.086
466	1348509.334
467	1348508.651
468	1347510.676
469	1347497.64
470	1347487.466
471	1347469.212
472	1347432.553
473	1347244.783
474	1336719.236
475	1335869.118
476	1335839.024
477	1335816.56
478	1335739.191
479	1335735.374
480	1335730.145
481	1335722.336
482	1332887.28
483	1332873.211
484	1332861.929
485	1332819.006
486	1317923.237
487	1317921.864
488	1317729.107
489	1314359.751
490	1314353.391
491	1312258.575
492	1302300.351
493	1302280.025
494	1302248.884
495	1302213.573
496	1284626.648
497	1284599.756
498	1284563.9
499	1284539.002
500	1284516.998
501	1284296.261
502	1284245.351
503	1284219.444
504	1284205.567
505	1283531.796
506	1283327.834
507	1283300.115
508	1283283.361
509	1282109.478
510	1282100.28
511	1281519.932
512	1281506.053
513	1276738.049
514	1276737.29
515	1276269.418
516	1276267.065
517	1276226.816
518	1254742.774
519	1254741.752
520	1254579.082
521	1251813.593
522	1251235.625
523	1251212.13
524	1251170.029
525	1251169.063
526	1251131.152
527	1251130.228
528	1250736.412
529	1250735.595
530	1250731.378
531	1250729.363
532	1249996.31
533	1248256.55
534	1234793.652
535	1234768.396
536	1234737.381
537	1234234.943
538	1234230.821
539	1233943.394
540	1233935.703
541	1233858.788
542	1233515.811
543	1233488.3
544	1233466.884
545	1231094.406
546	1230796.247
547	1230794.309
548	1230697.954
549	1230679.956
550	1230664.63
551	1230301.878
552	1230229.471
553	1230227.835
554	1230221.48
555	1225573.696
556	1225511.732
557	1225486.07
558	1225425.7
559	1224739.305
560	1222710.01
561	1207167.672
562	1207156.443
563	1202377.296
564	1201835.146
565	1201804.251
566	1201790.523
567	1201775.676
568	1201564.005
569	1186841.183
570	1186691.053
571	1177761.714
572	1177745.759
573	1177733.581
574	1165381.257
575	1163173.97
576	1163161.773
577	1163121.14
578	1163100.371
579	1162723.946
580	1162617.691
581	1162578.995
582	1162564.762
583	1162559.619
584	1162547.053
585	1162296.61
586	1162258.578
587	1162182.492
588	1162173.248
589	1150651.348
590	1150645.329
591	1150101.26
592	1150087.294
593	1142082.025
594	1141818.462
595	1140270.48
596	1140254.548
597	1140220.829
598	1133219.61
599	1133216.959
600	1131367.726
601	1131347.369
602	1131262.252
603	1131233.257
604	1131219.038
605	1131000.401
606	1130987.048
607	1130558.064
608	1129822.401
609	1129818.982
610	1129771.24
611	1129536.856
612	1123177.665
613	1122442.143
614	1122439.358
615	1122433.997
616	1122370.137
617	1122360.782
618	1122360.248
619	1122354.337
620	1122331.27
621	1122320.49
622	1122311.093
623	1122300.526
624	1122292.21
625	1122285.811
626	1122259.65
627	1122224.614
628	1122205.495
629	1122180.09
630	1121803.726
631	1121792.708
632	1121269.273
633	1121263.535
634	1116995.292
635	1111703.646
636	1111694.643
637	1111153.29
638	1111118.979
639	1111101.452
640	1111079.37
641	1111061.777
642	1111039.597
643	1110982.929
644	1107485.932
645	1107475.692
646	1107454.333
647	1107310.577
648	1107238.681
649	1107233.669
650	1107225.477
651	1106902.827
652	1106885.381
653	1106854.996
654	1099541.696
655	1099521.32
656	1099515.72
657	1099509.719
658	1097566.705
659	1097559.8
660	1097519.055
661	1097505.716
662	1080031.046
663	1080018.947
664	1080016.447
665	1074440.079
666	1074389.171
667	1074377.469
668	1074362.92
669	1074304.024
670	1074168.006
671	1057321.77
672	1057314.917
673	1057301.384
674	1057284.039
675	1056556.409
676	1055775.121
677	1055757.126
678	1055739.99
679	1055730.273
680	1055719.703
681	1054893.647
682	1038388.118
683	1037539.056
684	1037504.362
685	1037419.812
686	1037409.389
687	1037399.848
688	1037394.499
689	1037386.348
690	1036323.996
691	1036311.976
692	1036016.352
693	1036012.914
694	1035999.826
695	1035986.004
696	1035981.536
697	1035952.779
698	1035863.316
699	1032118.31
700	1032013.437
701	1032007.33
702	1027155.066
703	1027144.492
704	1027133.943
705	1027128.373
706	1026991.129
707	1026978.805
708	1026971.732
709	1026899.919
710	1026892.704
711	1026881.138
712	1026860.524
713	1024157.994
714	1023893.468
715	1023878.727
716	1023856.997
717	1023855.443
718	1023854.629
719	1023823.033
720	1018411.485
721	1018387.624
722	1018380.66
723	1018349.319
724	1018344.416
725	1018327.86
726	1015950.606
727	1015945.701
728	1015722.387
729	1015717.826
730	1015463.718
731	1015454.927
732	1015445.557
733	1015434.146
734	1015258.893
735	1015231.434
736	1007441.668
737	1005361.509
738	1005355.795
739	1005343.097
740	1005332.828
741	998767.6363
742	997944.3925
743	997730.1146
744	997727.5946
745	993581.9708
746	993540.3236
747	993518.6468
748	993501.5652
749	993473.5302
750	993472.4251
751	993445.5072
752	993427.4314
753	993379.9115
754	993368.1446
755	993366.4767
756	993346.3709
757	993326.6476
758	993197.4759
759	993197.0783
760	993196.7613
761	993180.903
762	991382.9682
763	991380.2561
764	988364.3315
765	986785.3124
766	986777.0169
767	986727.4198
768	986703.3685
769	986696.0813
770	986664.9692
771	986040.9785
772	984441.1076
773	984413.6756
774	984405.6694
775	984375.2426
776	984341.3618
777	984333.9741
778	984329.6996
779	981039.9045
780	974966.5769
781	974940.1065
782	974928.9525
783	974926.4374
784	974916.6754
785	974908.829
786	974892.6891
787	974882.5314
788	974868.2103
789	971789.8849
790	971769.0592
791	971755.7842
792	971745.152
793	971335.0563
794	971313.2474
795	971303.4323
796	971301.4803
797	965810.6028
798	965721.9433
799	965719.7802
800	965697.2174
801	965688.4159
802	959425.9383
803	958910.8676
804	958888.2634
805	958874.7812
806	958865.1273
807	958856.2482
808	958283.1574
809	958245.5851
810	958228.5752
811	958205.0232
812	958179.944
813	958174.8898
814	958160.8712
815	958140.1183
816	958134.7978
817	958008.7847
818	957515.4715
819	957508.4908
820	957490.5377
821	957461.3611
822	956251.1217
823	956242.5041
824	956227.9007
825	956212.0738
826	956204.7231
827	956198.3298
828	949792.842
829	949790.3977
830	948545.6116
831	948502.2594
832	948496.7369
833	948490.3175
834	947969.1752
835	943209.688
836	943204.9481
837	942973.5315
838	941876.5135
839	941871.3414
840	941855.0703
841	941829.7432
842	941777.574
843	941487.28
844	935165.5498
845	935154.3036
846	935132.3133
847	935123.7051
848	935063.4281
849	935022.5912
850	934993.8731
851	934981.306
852	934975.8723
853	934946.2424
854	934933.1997
855	934918.6279
856	934914.9623
857	934908.0787
858	934885.1881
859	934875.9669
860	934850.9038
861	934840.2862
862	934831.9771
863	934821.0488
864	934737.7773
865	934729.5058
866	934727.8994
867	933779.5295
868	933684.2075
869	933674.8793
870	931221.4943
871	931216.1425
872	931204.8506
873	923329.3803
874	923317.3552
875	923308.0703
876	923307.8475
877	923307.4674
878	923284.948
879	923280.0459
880	923279.9012
881	923129.4497
882	923129.2387
883	923058.297
884	922872.6191
885	922559.3777
886	922515.3617
887	922487.3387
888	919558.4991
889	918157.8891
890	913970.3712
891	913959.0573
892	913958.9172
893	913958.7909
894	913953.3972
895	913899.4599
896	913893.1592
897	913869.0858
898	913355.9354
899	913334.0116
900	913319.819
901	913319.6916
902	913261.2649
903	913249.9099
904	912821.142
905	912760.6564
906	912754.4566
907	911982.6254
908	911969.6105
909	911803.6762
910	911794.3963
911	911788.543
912	911783.5571
913	911775.5072
914	911767.443
915	911760.2531
916	911076.7603
917	911039.5475
918	910898.4312
919	910753.2072
920	897585.1876
921	897578.8959
922	892218.2049
923	892208.944
924	892189.6354
925	892166.9289
926	892149.1891
927	892137.5758
928	892135.5583
929	888169.0179
930	888160.811
931	888154.5096
932	883745.8107
933	883729.4663
934	883253.5272
935	882881.3526
936	882823.8332
937	882087.432
938	879881.9451
939	879845.3393
940	879841.2346
941	879839.6652
942	879832.5773
943	879822.1706
944	879782.502
945	877544.2575
946	877527.4765
947	876025.0481
948	873605.8286
949	873603.7716
950	873598.2272
951	873575.0556
952	873574.091
953	873566.757
954	873548.9476
955	871435.0232
956	871397.0916
957	871391.8573
958	871355.8221
959	871320.4258
960	871286.4328
961	871271.56
962	871260.5637
963	869903.662
964	869592.4638
965	869522.5717
966	869152.0767
967	869146.0898
968	869122.6185
969	869117.5108
970	869109.2364
971	867731.7703
972	867584.757
973	867571.2323
974	867558.5181
975	867543.1462
976	867520.057
977	867464.6663
978	867444.5092
979	867437.2234
980	867024.8124
981	866815.4876
982	866808.2683
983	866806.266
984	866762.5615
985	862697.6145
986	862535.7869
987	862535.5033
988	862428.2113
989	862335.8979
990	862331.8938
991	862319.4988
992	862310.8231
993	861961.598
994	861840.0635
995	861834.0179
996	859902.917
997	856322.0786
998	856315.3742
999	856143.7177
