iter	Passed	Remaining
258	27418	78444
259	27514	78309
260	27596	78137
261	27709	78052
262	27827	77979
263	27928	77861
264	28058	77823
265	28127	77615
266	28226	77490
267	28321	77355
268	28424	77242
269	28538	77160
270	28650	77071
271	28758	76971
272	28876	76897
273	28984	76797
274	29085	76680
275	29195	76584
276	29299	76474
277	29423	76416
278	29485	76198
279	29583	76071
280	29688	75964
281	29774	75809
282	29883	75712
283	29998	75629
284	30131	75592
285	30243	75501
286	30369	75448
287	30453	75288
288	30569	75207
289	30669	75088
290	30770	74969
291	30837	74771
292	30936	74649
293	31039	74537
294	31148	74438
295	31259	74346
296	31378	74272
297	31492	74187
298	31605	74099
299	31723	74020
300	31835	73930
301	31934	73808
302	32022	73661
303	32157	73623
304	32273	73541
305	32377	73432
306	32456	73265
307	32568	73172
308	32682	73085
309	32762	72923
310	32880	72845
311	32975	72716
312	33094	72637
313	33224	72586
314	33365	72556
315	33466	72440
316	33570	72330
317	33674	72221
318	33799	72156
319	33920	72080
320	34037	71998
321	34138	71880
322	34215	71714
323	34337	71642
324	34446	71542
325	34547	71426
326	34647	71308
327	34757	71209
328	34843	71063
329	34952	70963
330	35078	70898
331	35189	70803
332	35299	70705
333	35406	70600
334	35528	70526
335	35645	70443
336	35774	70381
337	35875	70264
338	35990	70175
339	36105	70087
340	36217	69991
341	36326	69891
342	36441	69802
343	36506	69617
344	36609	69504
345	36674	69321
346	36768	69192
347	36858	69055
348	36972	68965
349	37073	68850
350	37202	68786
351	37301	68669
352	37416	68578
353	37550	68524
354	37656	68418
355	37780	68344
356	37901	68265
357	38003	68152
358	38101	68030
359	38226	67958
360	38336	67857
361	38446	67758
362	38535	67623
363	38637	67510
364	38758	67429
365	38871	67334
366	38989	67249
367	39043	67052
368	39105	66872
369	39238	66811
370	39316	66658
371	39414	66537
372	39522	66435
373	39626	66326
374	39726	66210
375	39832	66105
376	39955	66026
377	40048	65899
378	40170	65820
379	40264	65694
380	40374	65595
381	40488	65502
382	40613	65427
383	40706	65299
384	40808	65187
385	40921	65091
386	40991	64930
387	41087	64807
388	41185	64690
389	41293	64586
390	41400	64483
391	41501	64369
392	41602	64256
393	41748	64212
394	41863	64119
395	41967	64010
396	42054	63875
397	42169	63784
398	42274	63676
399	42380	63570
400	42500	63485
401	42621	63402
402	42745	63322
403	42837	63196
404	42934	63076
405	43009	62925
406	43118	62824
407	43237	62736
408	43352	62643
409	43447	62522
410	43568	62437
411	43680	62339
412	43767	62206
413	43872	62100
414	43996	62018
415	44085	61889
416	44187	61777
417	44267	61635
418	44315	61449
419	44435	61362
420	44545	61263
421	44651	61157
422	44768	61067
423	44889	60982
424	45020	60909
425	45145	60830
426	45240	60708
427	45328	60579
428	45440	60481
429	45553	60384
430	45658	60277
431	45784	60197
432	45878	60076
433	45966	59946
434	46051	59814
435	46185	59744
436	46285	59631
437	46441	59589
438	46523	59453
439	46632	59350
440	46737	59243
441	46830	59121
442	46937	59016
443	47056	58927
444	47156	58813
445	47291	58743
446	47391	58630
447	47504	58532
448	47628	58447
449	47743	58353
450	47844	58240
451	47945	58128
452	48051	58022
453	48169	57930
454	48270	57818
455	48407	57749
456	48514	57643
457	48633	57552
458	48739	57446
459	48844	57338
460	48941	57222
461	49028	57093
462	49139	56993
463	49250	56893
464	49368	56800
465	49502	56725
466	49636	56651
467	49766	56572
468	49860	56452
469	49959	56337
470	50072	56238
471	50171	56124
472	50310	56054
473	50420	55951
474	50544	55865
475	50685	55796
476	50798	55697
477	50920	55607
478	51030	55504
479	51130	55391
480	51217	55263
481	51329	55162
482	51435	55055
483	51544	54952
484	51639	54833
485	51739	54720
486	51839	54607
487	51946	54501
488	52069	54411
489	52180	54309
490	52282	54199
491	52376	54079
492	52477	53968
493	52581	53859
494	52668	53732
495	52811	53663
496	52927	53566
497	53030	53456
498	53136	53349
499	53264	53264
500	53379	53166
501	53473	53047
502	53559	52920
503	53675	52823
504	53790	52725
505	53908	52629
506	53997	52506
507	54084	52380
508	54177	52261
509	54280	52151
510	54406	52064
511	54540	51984
512	54638	51869
513	54753	51771
514	54895	51697
515	55004	51592
516	55117	51492
517	55252	51412
518	55382	51327
519	55509	51239
520	55622	51138
521	55737	51039
522	55866	50952
523	55982	50853
524	56080	50739
525	56168	50615
526	56287	50519
527	56396	50415
528	56522	50325
529	56635	50224
530	56738	50113
531	56837	49999
532	56940	49889
533	57039	49775
534	57140	49664
535	57249	49559
536	57377	49470
537	57485	49364
538	57595	49260
539	57687	49140
540	57766	49010
541	57850	48884
542	57975	48793
543	58058	48667
544	58168	48563
545	58272	48453
546	58394	48359
547	58501	48252
548	58609	48147
549	58717	48041
550	58808	47922
551	58934	47830
552	59075	47751
553	59177	47641
554	59320	47563
555	59435	47462
556	59546	47359
557	59653	47252
558	59745	47133
559	59843	47019
560	59966	46926
561	60036	46789
562	60097	46647
563	60159	46505
564	60228	46370
565	60290	46229
566	60345	46083
567	60418	45952
568	60474	45807
569	60547	45676
570	60648	45566
571	60743	45451
572	60857	45351
573	60955	45238
574	61066	45136
575	61170	45028
576	61288	44930
577	61412	44837
578	61523	44734
579	61629	44628
580	61735	44522
581	61838	44413
582	61963	44320
583	62050	44200
584	62177	44108
585	62257	43983
586	62364	43878
587	62467	43769
588	62527	43631
589	62645	43533
590	62743	43421
591	62863	43324
592	62981	43226
593	63117	43141
594	63235	43042
595	63353	42944
596	63469	42844
597	63579	42740
598	63683	42633
599	63831	42554
600	63935	42446
601	64067	42356
602	64181	42255
603	64267	42135
604	64361	42021
605	64483	41925
606	64583	41814
607	64699	41714
608	64849	41635
609	64941	41519
610	65042	41410
611	65160	41311
612	65293	41221
613	65415	41124
614	65522	41018
615	65615	40903
616	65732	40803
617	65810	40678
618	65939	40586
619	66067	40492
620	66162	40379
621	66269	40272
622	66377	40167
623	66479	40057
624	66600	39960
625	66694	39846
626	66809	39744
627	66899	39628
628	66989	39511
629	67092	39403
630	67195	39294
631	67326	39202
632	67424	39091
633	67530	38984
634	67653	38887
635	67746	38773
636	67868	38675
637	67983	38573
638	68104	38475
639	68232	38380
640	68376	38295
641	68488	38191
642	68578	38075
643	68702	37978
644	68799	37866
645	68897	37754
646	68994	37643
647	69104	37538
648	69209	37430
649	69297	37313
650	69398	37204
651	69508	37099
652	69625	36998
653	69744	36898
654	69852	36792
655	69979	36696
656	70089	36591
657	70192	36482
658	70309	36381
659	70435	36284
660	70531	36172
661	70640	36067
662	70744	35959
663	70839	35846
664	70945	35739
665	71068	35640
666	71195	35544
667	71305	35439
668	71406	35329
669	71521	35227
670	71618	35115
671	71729	35010
672	71839	34905
673	71924	34788
674	72022	34677
675	72142	34577
676	72206	34450
677	72298	34336
678	72413	34233
679	72544	34138
680	72654	34033
681	72761	33926
682	72886	33828
683	73006	33728
684	73116	33622
685	73217	33513
686	73323	33406
687	73445	33306
688	73536	33193
689	73623	33077
690	73732	32971
691	73868	32878
692	73983	32775
693	74096	32670
694	74215	32569
695	74334	32467
696	74448	32364
697	74567	32262
698	74678	32157
699	74786	32051
700	74900	31947
701	75018	31845
702	75137	31743
703	75250	31639
704	75382	31543
705	75499	31440
706	75617	31337
707	75730	31233
708	75844	31129
709	75965	31028
710	76092	30929
711	76201	30823
712	76318	30719
713	76417	30609
714	76541	30509
715	76648	30402
716	76768	30300
717	76884	30196
718	76945	30071
719	77005	29946
720	77065	29821
721	77172	29714
722	77272	29605
723	77379	29498
724	77513	29401
725	77619	29294
726	77722	29186
727	77810	29072
728	77907	28961
729	78021	28857
730	78138	28754
731	78211	28634
732	78332	28533
733	78465	28435
734	78570	28328
735	78683	28223
736	78798	28119
737	78911	28014
738	79021	27908
739	79146	27808
740	79268	27706
741	79370	27597
742	79485	27493
743	79582	27383
744	79679	27272
745	79775	27162
746	79882	27055
747	79987	26947
748	80084	26837
749	80195	26731
750	80290	26620
751	80392	26512
752	80483	26400
753	80577	26289
754	80683	26181
755	80779	26071
756	80875	25961
757	80989	25856
758	81099	25751
759	81220	25648
760	81317	25538
761	81434	25434
762	81549	25330
763	81657	25224
764	81766	25117
765	81860	25007
766	81994	24908
767	82090	24798
768	82197	24691
769	82330	24592
770	82451	24489
771	82565	24384
772	82686	24281
773	82803	24177
774	82919	24073
775	83049	23973
776	83163	23868
777	83301	23769
778	83394	23658
779	83490	23548
780	83575	23435
781	83676	23326
782	83781	23219
783	83884	23110
784	84011	23009
785	84130	22905
786	84263	22805
787	84365	22697
788	84463	22587
789	84574	22481
790	84700	22379
791	84801	22271
792	84913	22165
793	85022	22058
794	85145	21955
795	85259	21850
796	85376	21745
797	85474	21636
798	85603	21534
799	85721	21430
800	85831	21324
801	85906	21208
802	86002	21099
803	86112	20992
804	86226	20887
805	86340	20781
806	86456	20676
807	86551	20566
808	86657	20459
809	86753	20349
810	86871	20245
811	86994	20141
812	87098	20033
813	87200	19925
814	87297	19816
815	87391	19705
816	87497	19598
817	87604	19491
818	87719	19386
819	87864	19287
820	87977	19181
821	88070	19071
822	88169	18962
823	88290	18858
824	88420	18755
825	88508	18644
826	88616	18537
827	88742	18434
828	88808	18318
829	88899	18208
830	88992	18098
831	89087	17988
832	89225	17887
833	89330	17780
834	89432	17672
835	89557	17568
836	89663	17461
837	89761	17352
838	89856	17242
839	89967	17136
840	90092	17032
841	90187	16923
842	90298	16817
843	90435	16715
844	90540	16607
845	90620	16495
846	90707	16385
847	90816	16278
848	90933	16173
849	91044	16066
850	91177	15964
851	91294	15858
852	91406	15752
853	91543	15650
854	91644	15542
855	91762	15436
856	91868	15329
857	91965	15220
858	92073	15113
859	92196	15008
860	92318	14903
861	92406	14793
862	92499	14684
863	92595	14575
864	92699	14467
865	92807	14360
866	92952	14259
867	93058	14151
868	93194	14048
869	93304	13942
870	93398	13832
871	93526	13728
872	93613	13618
873	93711	13509
874	93821	13403
875	93918	13294
876	94021	13186
877	94129	13079
878	94237	12972
879	94338	12864
880	94454	12758
881	94576	12653
882	94688	12546
883	94796	12439
884	94895	12331
885	94991	12222
886	95106	12116
887	95200	12007
888	95292	11898
889	95388	11789
890	95494	11682
891	95604	11575
892	95735	11471
893	95831	11362
894	95931	11254
895	96040	11147
896	96131	11038
897	96246	10932
898	96355	10825
899	96480	10720
900	96614	10615
901	96721	10508
902	96838	10402
903	96945	10295
904	97061	10188
905	97168	10081
906	97298	9976
907	97384	9867
908	97496	9760
909	97591	9651
910	97717	9546
911	97830	9439
912	97947	9333
913	98066	9227
914	98158	9118
915	98260	9010
916	98357	8902
917	98463	8795
918	98575	8688
919	98686	8581
920	98816	8476
921	98935	8369
922	99045	8262
923	99143	8154
924	99273	8049
925	99367	7940
926	99482	7834
927	99607	7728
928	99725	7621
929	99831	7514
930	99942	7407
931	100049	7299
932	100156	7192
933	100230	7082
934	100341	6975
935	100478	6870
936	100581	6762
937	100682	6654
938	100778	6546
939	100878	6439
940	100995	6332
941	101082	6223
942	101178	6115
943	101288	6008
944	101386	5900
945	101503	5794
946	101576	5684
947	101674	5577
948	101773	5469
949	101847	5360
950	101949	5252
951	102054	5145
952	102160	5038
953	102264	4930
954	102396	4824
955	102498	4717
956	102598	4609
957	102732	4503
958	102813	4395
959	102912	4288
960	103026	4181
961	103139	4074
962	103245	3966
963	103360	3859
964	103470	3752
965	103575	3645
966	103690	3538
967	103822	3432
968	103922	3324
969	104024	3217
970	104139	3110
971	104259	3003
972	104350	2895
973	104456	2788
974	104570	2681
975	104673	2573
976	104800	2467
977	104913	2360
978	105048	2253
979	105148	2145
980	105248	2038
981	105351	1931
982	105457	1823
983	105551	1716
984	105661	1609
985	105769	1501
986	105891	1394
987	106045	1287
988	106140	1180
989	106242	1073
990	106344	965
991	106432	858
992	106523	750
993	106643	643
994	106736	536
995	106859	429
996	106979	321
997	107093	214
998	107199	107
999	107307	0
